Title,Area/Property Name,Address,City,State,Unit Type,Bedroom Count,Bathroom Count,Price/Month (RM),Price/Year (RM),Size (sqft),Furnishing Status,Property Type,No Deposit,Pet Friendly,Listing Ref,URL,_raw_id
"Duta Ria, Dutamas","Duta Ria, Dutamas","Jalan Dutamas Raya, Taman Segambut Sppk, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2500,30000,1290,Partially Furnished,HIGHRISE,True,True,KJKFQCSB,https://speedhome.com/details/duta-ria-dutamas-kjkfqcsb,301542
"Zeta Deskye Residence, Kuala Lumpur","Zeta Deskye Residence, Kuala Lumpur","Jalan 1/12D, Kampung Batu Muda, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1700,20400,1037,Partially Furnished,HIGHRISE,True,False,EGMAKZYH,https://speedhome.com/details/zeta-deskyealam-saujana-condominium-egmakzyh,301538
"The Birch, Kuala Lumpur","The Birch, Kuala Lumpur","No 35, Jalan Kasipillay, Off Jalan Ipoh 51200 Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,4BR,4,2,2500,30000,983,Partially Furnished,HIGHRISE,True,True,ONHTEWGN,https://speedhome.com/details/the-birch-kuala-lumpur-onhtewgn,301533
"The ERA, Segambut","The ERA, Segambut","Jalan Segambut, 51200, Kuala Lumpur, Wilayah Persekutuan, 51200 Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,1BR,1,1,1800,21600,300,Fully Furnished,HIGHRISE,True,True,ISJBCZEH,https://speedhome.com/details/the-era-segambut-isjbczeh,301438
"Residensi Max, Kuala Lumpur","Residensi Max, Kuala Lumpur","B-31-06,RESIDENSI MAX KOLAM AIR NO.61, JALAN KOLAM AIR 6 KASIPILLAY 51200 KUALA LUMPUR WP KUALA LUMPUR",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1800,21600,901,Partially Furnished,HIGHRISE,True,False,VPHIUHAI,https://speedhome.com/details/residensi-max-kuala-lumpur-vphiuhai,301255
"Laman Suria, Mont Kiara","Laman Suria, Mont Kiara","Jalan Kiara 3, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,2900,34800,1034,Fully Furnished,HIGHRISE,True,True,UHQVFMFJ,https://speedhome.com/details/laman-suria-mont-kiara-uhqvfmfj,301111
"Maxim Citylights, Sentul","Maxim Citylights, Sentul","51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1800,21600,1009,Unfurnished,HIGHRISE,True,True,VYCTXWZE,https://speedhome.com/details/maxim-citylights-sentul-vyctxwze,301073
"The ERA, Segambut","The ERA, Segambut","ERA SEGAMBUT, NO. 208, JALAN SEGAMBUT, SEGAMBUT, 51200 KUALA LUMPUR, WP KUALA LUMPUR",Kuala Lumpur,Wilayah Persekutuan,1BR,1,1,2000,24000,280,Partially Furnished,HIGHRISE,True,True,DSFSVHFE,https://speedhome.com/details/the-era-segambut-dsfsvhfe,300980
Riana dutamas savio,Riana dutamas savio,"RESIDENSI RIANA DUTAMAS 1 NO 346, JLN SEGAMBUT SEGAMBUT 51200 KUALA LUMPUR WP KUALA LUMPUR",Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,2400,28800,904,Fully Furnished,HIGHRISE,True,False,SRAETFWB,https://speedhome.com/details/riana-dutamas-savio-sraetfwb,300926
"Savvy Riana Dutamas 2, Segambut","Savvy Riana Dutamas 2, Segambut","Savvy @ Residensi Riana Dutamas 2, Jalan Segambut, Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2700,32400,1203,Partially Furnished,HIGHRISE,True,False,CDGJEMUA,https://speedhome.com/details/savvy-riana-dutamas-2-segambut-cdgjemua,300199
"Savvy Riana Dutamas 2, Segambut","Savvy Riana Dutamas 2, Segambut","352, Jalan Segambut, Segambut KL",Kuala Lumpur,Wilayah Persekutuan,Room (Medium),1,1,900,10800,100,Fully Furnished,ROOM,True,False,LHVLLDKZ,https://speedhome.com/details/savvy-riana-dutamas-2-lhvlldkz,300139
"The Pano, Kuala Lumpur","The Pano, Kuala Lumpur","Residensi Pano, 2, Jln Ipoh, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,1BR,1,1,1700,20400,500,Partially Furnished,HIGHRISE,True,True,NZNCUMDV,https://speedhome.com/details/the-pano-kuala-lumpur-nzncumdv,299928
"The ERA, Segambut","The ERA, Segambut","Jalan Segambut, 51200, Kuala Lumpur, Wilayah Persekutuan, 51200 Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,Room (Small),1,1,900,10800,371,Fully Furnished,ROOM,True,False,HAZJSJCB,https://speedhome.com/details/the-era-segambut-hazjsjcb,299293
"The ERA, Segambut","The ERA, Segambut","Jalan Segambut, 51200, Kuala Lumpur, Wilayah Persekutuan, 51200 Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,Studio,0,1,2000,24000,301,Partially Furnished,HIGHRISE,True,False,BMKCSKJH,https://speedhome.com/details/the-era-segambut-bmkcskjh,298843
"The Pano, Kuala Lumpur","The Pano, Kuala Lumpur","No. 556, Batu 3 1, Residensi Pano, 2, Jln Ipoh, Batu Complex Bussiness Centre, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,1BR,1,1,1400,16800,300,Partially Furnished,HIGHRISE,True,False,BZXRVQBZ,https://speedhome.com/details/the-pano-kuala-lumpur-bzxrvqbz,298694
"MET 1 Residences, Kuala Lumpur","MET 1 Residences, Kuala Lumpur","Met 1 Residences KL Metropolis, Jln Boulevard, Dutamas, 50480 Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,1BR,1,1,3249,38988,677,Fully Furnished,HIGHRISE,True,False,UIACHRKJ,https://speedhome.com/details/met-1-residences-kuala-lumpur-uiachrkj,297944
"Savio Riana Dutamas, Segambut","Savio Riana Dutamas, Segambut","368, Jalan Segambut, Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,2300,27600,800,Fully Furnished,HIGHRISE,True,True,AJGLUWCP,https://speedhome.com/details/savio-riana-dutamas-segambut-ajgluwcp,297508
Sofea Homes,Sofea Homes,"Jalan Dutamas Seroja 1, Taman Segambut SPPK, Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,4BR,4,3,2499,29988,1800,Unfurnished,LANDED,True,False,QLAOGOBX,https://speedhome.com/details/sofea-homes-qlaogobx,296666
"Kiara East, Kuala Lumpur","Kiara East, Kuala Lumpur","Jalan Kampung Batu, Taman Mastiara, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,2BR,2,1,1800,21600,722,Fully Furnished,HIGHRISE,True,False,AMWWTZKU,https://speedhome.com/details/kiara-east-kuala-lumpur-amwwtzku,295972
"Dorsett Hartamas, Kuala Lumpur","Dorsett Hartamas, Kuala Lumpur","Jalan Sri Hartamas 1, Sri Hartamas, 50480 Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,Studio,0,1,2900,34800,721,Fully Furnished,HIGHRISE,True,False,BQQTIVKV,https://speedhome.com/details/dorsett-hartamas-kuala-lumpur-bqqtivkv,294722
"Villa Crystal, Segambut","Villa Crystal, Segambut","B-15-08,VILA KRISTAL JALAN 6/38A TAMAN SRI SINAR, SEGAMBUT 51200 KUALA LUMPUR WP KUALA LUMPUR",Kuala Lumpur,Wilayah Persekutuan,1BR,1,2,2000,24000,1050,Unfurnished,HIGHRISE,True,True,LYFINDLI,https://speedhome.com/details/villa-crystal-segambut-lyfindli,294338
Duta Ria Condominium,Duta Ria Condominium,"Duta Ria Condominium, Jalan Dutamas Raya, Segambut, 51200 Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1800,21600,1326,Partially Furnished,HIGHRISE,True,True,WZSKAVNT,https://speedhome.com/details/duta-ria-condominium-wzskavnt,292656
"Sri Putramas, Kuala Lumpur","Sri Putramas, Kuala Lumpur","Jalan Sri Putramas 1, Off, Jln Kuching, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1400,16800,1100,Unfurnished,HIGHRISE,True,True,SVNSADOE,https://speedhome.com/details/sri-putramas-kuala-lumpur-svnsadoe,291432
"Sri Putramas, Kuala Lumpur","Sri Putramas, Kuala Lumpur","Jalan Sri Putramas 1, Off, Jln Kuching, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1800,21600,1050,Fully Furnished,HIGHRISE,True,False,GAWUDEKW,https://speedhome.com/details/sri-putramas-kuala-lumpur-gawudekw,289618
"The Pano, Kuala Lumpur","The Pano, Kuala Lumpur","No. 556, Batu 3 1, Residensi Pano, 2, Jln Ipoh, Batu Complex Bussiness Centre, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2850,34200,983,Fully Furnished,HIGHRISE,True,True,YFMICYED,https://speedhome.com/details/the-pano-kuala-lumpur-yfmicyed,286003
"Arte, Mont Kiara","Arte, Mont Kiara","Arte Mont Kiara, Jalan Sultan Haji Ahmad Shah, Kompleks Kerajaan, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,3,3200,38400,944,Fully Furnished,HIGHRISE,True,False,XOEHFYHA,https://speedhome.com/details/arte-mont-kiara-xoehfyha,284147
"Duta Park Residences, Kuala Lumpur","Duta Park Residences, Kuala Lumpur","11, Jalan Kuching, 51200 Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,3000,36000,957,Fully Furnished,HIGHRISE,True,True,SVVGCOMI,https://speedhome.com/details/duta-park-residences-kuala-lumpur-svvgcomi,280060
"Solaris Dutamas, Dutamas","Solaris Dutamas, Dutamas","C2-7-1, 1 SOLARIS DUTAMAS, JLN DUTAMAS, TMN SRI HARTAMAS, 50480, KUALA LUMPUR, WP Kuala Lumpur.",Kuala Lumpur,Wilayah Persekutuan,1BR,1,2,2800,33600,1020,Fully Furnished,HIGHRISE,True,False,EJEQXUVE,https://speedhome.com/details/solaris-dutamas-dutamas-ejeqxuve,279387
"Arte Mont Kiara, Dutamas","Arte Mont Kiara, Dutamas","MK2-29-05, Jalan Sultan Haji Ahmad Shah",Kuala Lumpur,Wilayah Persekutuan,1BR,1,2,2600,31200,900,Fully Furnished,HIGHRISE,True,True,YSFYKHHY,https://speedhome.com/details/arte-mont-kiara-dutamas-ysfykhhy,276885
"Casa Idaman, Jalan Ipoh","Casa Idaman, Jalan Ipoh","Batu 5, Jalan 1/12D, Kampung Batu Muda, 51100 Wilayah Persekutuan",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1600,19200,1007,Partially Furnished,HIGHRISE,True,False,MKGOXTIG,https://speedhome.com/details/casa-idaman-jalan-ipoh-mkgoxtig,274310
"Kiara Kasih Condominium, Mont Kiara","Kiara Kasih Condominium, Mont Kiara","25, Jln Duta Kiara, Mont Kiara, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1800,21600,850,Fully Furnished,HIGHRISE,True,False,GRKAVWWG,https://speedhome.com/details/kiara-kasih-condominium-mont-kiara-grkavwwg,271712
"Sri Putramas I, Dutamas","Sri Putramas I, Dutamas","No B-3A-06Jalan Sri Putramas, Sri Putramas 2, 51200, Kuala Lumpur, Wilayah Persekutuan, 51200 Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2000,24000,1100,Fully Furnished,HIGHRISE,True,False,JTPMDZCB,https://speedhome.com/details/sri-putramas-i-dutamas-jtpmdzcb,269616
The Era Duta North,The Era Duta North,A-47-02 Tower A The Era Duta North Kawasan Perusahaan Segambut 51200 Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2900,34800,1023,Fully Furnished,HIGHRISE,True,False,HSLORLDZ,https://speedhome.com/details/the-era-duta-north-hslorldz,268730
"Court 28 @ KL City, Sentul","Court 28 @ KL City, Sentul","Jalan Manggis, Jalan Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,1850,22200,703,Fully Furnished,HIGHRISE,True,True,YAPEVRCJ,https://speedhome.com/details/court-28-kl-city-sentul-yapevrcj,266634
"Kiara Kasih Condominium, Kuala Lumpur","Kiara Kasih Condominium, Kuala Lumpur","25, Jalan Duta Kiara, Mont Kiara, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,1700,20400,850,Partially Furnished,HIGHRISE,True,True,ZPCMBHJC,https://speedhome.com/details/kiara-kasih-condominium-kuala-lumpur-zpcmbhjc,262296
"Kiara Kasih Condominium, Mont Kiara","Kiara Kasih Condominium, Mont Kiara","25, Jln Duta Kiara, Mont Kiara, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2000,24000,850,Fully Furnished,HIGHRISE,True,False,OTQRPXXX,https://speedhome.com/details/kiara-kasih-condominium-mont-kiara-otqrpxxx,261467
"Arte Mont Kiara, Dutamas","Arte Mont Kiara, Dutamas",Jalan Sultan Haji Ahmad Shah Kompleks Kerajaan,Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,2650,31800,886,Fully Furnished,HIGHRISE,True,False,WKYAAKRE,https://speedhome.com/details/arte-mont-kiara-dutamas-wkyaakre,259971
"The ERA, Segambut","The ERA, Segambut",A-47-02 Tower B The Era Duta North Kawasan Perusahaan Segambut 51200 Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,2BR,2,2,2300,27600,872,Fully Furnished,HIGHRISE,True,False,YCZQUXGL,https://speedhome.com/details/the-era-segambut-yczquxgl,256390
"Maxim Citilights, Sentul","Maxim Citilights, Sentul","51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Kuala Lumpur,Wilayah Persekutuan,3BR,3,2,2300,27600,1009,Fully Furnished,HIGHRISE,True,False,WOZKTMTX,https://speedhome.com/details/maxim-citilights-sentul-wozktmtx,256027
"United Point Residence, Segambut","United Point Residence, Segambut","Residensi Berpadu,No. 10 Jalan Lang Emas, Segambut",Kuala Lumpur,Wilayah Persekutuan,Studio,0,2,2100,25200,900,Unfurnished,HIGHRISE,True,False,OUAGJDNJ,https://speedhome.com/details/united-point-residence-ouagjdnj,254364
